snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Nuclear,Oil,PV,SCGT,SCGT_CHP,Wind,Wind offshore,demand
2030-05-26 11:00:00,190.213506983,1.75623273675,176.325152502,5.97797540294,0.0,0.639224419425,0.0,0.0,1006.28151739,0.0,0.0,31.7654238368,156.959870692,4894.116635020393
2030-05-26 12:00:00,190.213506983,1.70083840825,176.325152502,5.789420705,0.0,0.639224419425,0.0,0.0,1169.63935569,0.0,0.0,34.4977500361,162.426554818,4828.559388061974
2030-05-26 13:00:00,190.213506983,1.66688325463,176.325152502,5.67384201835,0.0,0.639224419425,0.0,0.0,1230.81352512,0.0,0.0,37.9019376145,162.241132122,4751.178037258684
2030-05-26 14:00:00,190.213506983,1.66946032068,176.325152502,5.68261399778,0.0,0.639224419425,0.0,0.0,1183.66527613,0.0,0.0,40.0749089255,156.783768124,4686.373462339885
2030-05-26 15:00:00,190.213506983,1.67206256978,176.325152502,5.69147169688,0.0,0.639224419425,0.0,0.0,1021.86029275,0.0,0.0,39.9661429706,146.518063696,4666.813336748705
2030-05-26 16:00:00,190.213506983,1.77961100692,176.325152502,6.05755182872,0.0,0.639224419425,0.0,0.0,775.639972271,0.0,0.0,41.5014115477,144.855923634,4764.158785069406
2030-05-26 17:00:00,190.213506983,1.67072786782,176.325152502,5.68692855444,0.0,0.639224419425,0.0,0.0,483.41386721,0.0,0.0,41.2768213686,146.214756723,4866.172263113147
2030-05-26 18:00:00,190.213506983,1.66396202015,176.325152502,5.66389853678,0.0,0.639224419425,0.0,0.0,182.019963695,0.0,0.0,41.0416334017,145.584901002,4898.204310708566
2030-05-26 19:00:00,190.213506983,1.67840869985,176.325152502,5.7130730534,1351.8066700889108,0.639224419425,0.0,0.0,27.2729738405,0.0,0.0,39.0232157681,139.38753878,4871.162169863931
2030-05-26 20:00:00,190.213506983,1.67765320818,176.325152502,5.71050146334,0.0,0.639224419425,0.0,0.0,0.143218620664,0.0,0.0,39.7388937962,135.066793128,4753.82458170901
2030-05-26 21:00:00,190.213506983,1.68096058285,176.325152502,5.72175931316,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,39.9956891379,136.520949674,4537.903619189824
2030-05-26 22:00:00,190.213506983,1.79002839768,176.325152502,6.09301119834,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,47.5983184991,155.382939369,4237.349725304209
2030-05-26 23:00:00,190.213506983,1.61866609705,176.325152502,5.509717426,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,46.4808636848,147.606049945,3952.9238212783525
2030-05-27 00:00:00,190.213506983,1.52186243041,176.325152502,5.18021101948,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,44.5129511084,146.00189527,3677.582815078446
2030-05-27 01:00:00,190.213506983,1.81437201832,176.325152502,6.17587354476,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,43.8135479223,143.7195566,3592.8401529071043
2030-05-27 02:00:00,190.213506983,2.27594385443,176.325152502,7.74700077932,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,41.5056501507,146.38482984,3502.9470518814946
2030-05-27 03:00:00,190.213506983,2.48195803989,176.325152502,8.44824481582,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,37.9062209745,149.602959431,3416.7823597605684
2030-05-27 04:00:00,190.213506983,2.4860796667,176.325152502,8.46227426826,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,36.9860369075,133.199298525,3322.5390419357745
2030-05-27 05:00:00,190.213506983,3.46106685653,176.325152502,11.780996962,0.0,0.639224419425,0.0,0.0,44.1873487313,0.0,0.0,36.6779090517,131.847195923,3307.427890868203
2030-05-27 06:00:00,190.213506983,3.69089581846,176.325152502,12.5633032319,0.0,0.639224419425,0.0,0.0,104.650932096,0.0,0.0,38.2516517412,144.832829797,3556.767979638975
2030-05-27 07:00:00,190.213506983,4.40700958862,176.325152502,15.0008563046,0.0,0.639224419425,0.0,0.0,149.891941494,0.0,0.0,39.0890559132,154.792043143,4081.687637507739
2030-05-27 08:00:00,190.213506983,5.50089437942,176.325152502,18.7242901275,0.0,0.639224419425,0.0,0.0,202.608839205,0.0,0.0,37.2223334487,163.293322696,4505.9902434278665
2030-05-27 09:00:00,190.213506983,5.29050673659,176.325152502,18.0081594419,1944.1761085989945,0.639224419425,0.0,0.0,244.390369081,0.0,0.0,36.9153194888,166.994965806,4810.30505904925
2030-05-27 10:00:00,190.213506983,5.34946027031,176.325152502,18.2088291864,0.0,0.639224419425,0.0,0.0,240.029027571,0.0,0.0,28.7336894181,162.309568019,4969.854462212331
2030-05-27 11:00:00,190.213506983,5.6304612017,176.325152502,19.165317823,783.073036086605,0.639224419425,0.0,0.0,230.864944647,0.0,0.0,29.1091558874,168.345408458,5038.102552353431
2030-05-27 12:00:00,190.213506983,5.61592218413,176.325152502,19.115829001,0.0,0.639224419425,0.0,0.0,297.255505474,0.0,0.0,30.2227249329,170.524905284,5047.747483694821
2030-05-27 13:00:00,190.213506983,5.6161908034,176.325152502,19.1167433441,0.0,0.639224419425,0.0,0.0,362.740041431,0.0,0.0,33.2819154904,170.352189251,4975.294671673643
2030-05-27 14:00:00,190.213506983,5.96664660279,176.325152502,20.3096468271,0.0,0.639224419425,0.0,0.0,418.702070925,0.0,0.0,32.9542797086,170.027985296,4871.242639120866
2030-05-27 15:00:00,190.213506983,5.93468091058,176.325152502,20.2008399943,0.0,0.639224419425,0.0,0.0,429.658308227,0.0,0.0,34.3887993651,169.928855489,4777.292749596616
2030-05-27 16:00:00,190.213506983,6.55383152142,176.325152502,22.3083437692,0.0,0.639224419425,0.0,0.0,372.404875482,0.0,0.0,36.3056871858,170.157842392,4823.817391648214
2030-05-27 17:00:00,190.213506983,7.78603004923,176.325152502,26.5025785859,0.0,0.639224419425,0.0,0.0,284.496935548,0.0,0.0,33.8757005361,170.124094683,4850.4437746653475
2030-05-27 18:00:00,190.213506983,8.13945744921,176.325152502,27.7055969898,0.0,0.639224419425,0.0,0.0,141.60537266,0.0,0.0,28.7191141452,169.810642723,4794.819197603422
2030-05-27 19:00:00,190.213506983,8.36419943386,176.325152502,28.4705878866,850.7421143161798,0.639224419425,0.0,0.0,40.6110254888,0.0,0.0,23.0476438395,167.94825932,4705.901887920754
2030-05-27 20:00:00,190.213506983,7.80327204813,176.325152502,26.5612679858,0.0,0.639224419425,0.0,0.0,0.128554075503,0.0,0.0,19.3696002823,163.227675588,4591.511994314085
2030-05-27 21:00:00,190.213506983,7.57319125564,176.325152502,25.7781045192,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,16.1222895093,161.721331431,4414.6360970553715
2030-05-27 22:00:00,190.213506983,8.12919115678,176.325152502,27.6706519382,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,14.5290887796,161.056731076,4117.963828790927
2030-05-27 23:00:00,190.213506983,8.54503056349,176.325152502,29.0861122544,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,14.2214139903,156.194552281,3810.4534082842683
2030-05-28 00:00:00,190.213506983,7.13296625653,176.325152502,24.2796389905,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,12.6337675037,149.017498249,3435.4707350682784
2030-05-28 01:00:00,190.213506983,7.16705571978,176.325152502,24.3956748487,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,11.9569133838,140.791011677,3362.40810425906
2030-05-28 02:00:00,190.213506983,6.9758239881,176.325152502,23.7447482578,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,12.3273258508,130.25527685,3287.6391594334573
2030-05-28 03:00:00,190.213506983,7.46691036565,176.325152502,25.416338944,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,12.4421026431,119.181915752,3207.228019183426
2030-05-28 04:00:00,190.213506983,8.26707678185,176.325152502,28.1399956976,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,12.000041866,113.101367506,3134.155837730077
2030-05-28 05:00:00,190.213506983,9.71134182287,176.325152502,33.0560758446,0.0,0.639224419425,0.0,0.0,36.829127273,0.0,0.0,11.9657830507,107.325355365,3166.3205783173617
2030-05-28 06:00:00,190.213506983,9.37841343034,176.325152502,31.922833251,0.0,0.639224419425,0.0,0.0,135.134999131,0.0,0.0,12.0013087545,96.3741157184,3425.1552265857563
2030-05-28 07:00:00,190.213506983,9.606017889,176.325152502,32.6975676168,0.0,0.639224419425,0.0,0.0,248.270888022,0.0,0.0,14.5402637099,82.3931105958,3887.670569290578
2030-05-28 08:00:00,190.213506983,10.5350208189,176.325152502,35.8597661955,0.0,0.639224419425,0.0,0.0,337.435240611,0.0,0.0,14.7947030401,65.0248221042,4255.394346556433
2030-05-28 09:00:00,190.213506983,10.5107611417,176.325152502,35.7771895813,3408.9970078771103,0.639224419425,0.0,0.0,413.471646226,0.0,0.0,18.0308794273,48.5414734901,4475.487518124613
2030-05-28 10:00:00,190.213506983,10.8766625487,176.325152502,37.0226677945,2553.5516810683666,0.639224419425,0.0,0.0,516.747648265,0.0,0.0,21.2365010689,35.5620094565,4588.015645741272
2030-05-28 11:00:00,190.213506983,10.7580839331,176.325152502,36.6190424477,3138.37102933257,0.639224419425,0.0,0.0,569.334283367,0.0,0.0,22.559208715,22.4967201322,4623.928506137085
2030-05-28 12:00:00,190.213506983,10.8857872093,176.325152502,37.0537268878,3854.646925258,0.639224419425,0.0,0.0,609.473489092,0.0,0.0,22.9223399473,14.5812047496,4607.361999468067
2030-05-28 13:00:00,190.213506983,10.4625271955,176.325152502,35.6130078425,2765.142494327628,0.639224419425,0.0,0.0,658.018704807,0.0,0.0,22.5375297022,9.63541644719,4536.194257095526
2030-05-28 14:00:00,190.213506983,9.39854308631,176.325152502,31.9913518395,2333.4977672242308,0.639224419425,0.0,0.0,625.615108521,0.0,0.0,23.4375780518,7.29252284889,4440.448846474602
2030-05-28 15:00:00,190.213506983,8.31698120417,176.325152502,28.3098635078,2592.7281536938044,0.639224419425,0.0,0.0,545.923600956,0.0,0.0,23.9474132215,6.23222093529,4376.311597413824
2030-05-28 16:00:00,190.213506983,9.90963320454,176.325152502,33.731032516,3854.646925258,0.639224419425,0.0,0.0,457.784655055,0.0,0.0,23.024662244,5.22872582651,4416.050405207573
2030-05-28 17:00:00,190.213506983,10.5151010217,176.325152502,35.7919619376,3854.646925258,0.639224419425,0.0,0.0,327.595555628,0.0,0.0,20.3163198593,4.50737772243,4505.611875356115
2030-05-28 18:00:00,190.213506983,11.4252418428,176.325152502,38.8899564844,3854.646925258,0.639224419425,0.0,0.0,175.493545149,0.0,0.0,18.8984967013,4.09362301483,4586.23353618742
2030-05-28 19:00:00,190.213506983,10.8049412057,176.325152502,36.778538178,3854.646925258,0.639224419425,0.0,0.0,44.9880260628,0.0,0.0,17.2467402674,3.91416623095,4609.128259016764
2030-05-28 20:00:00,190.213506983,11.3581289989,176.325152502,38.6615135673,364.32010060749406,0.639224419425,0.0,0.0,0.130105870497,0.0,0.0,16.5322362569,3.95888369731,4517.506694608594
2030-05-28 21:00:00,190.213506983,10.4984885992,176.325152502,35.7354155295,3854.646925258,0.639224419425,0.0,0.0,0.0,0.0,0.0,15.5564353643,4.12435544148,4319.908744457799
2030-05-28 22:00:00,190.213506983,6.02534830595,176.325152502,20.5094593749,3854.646925258,0.639224419425,0.0,0.0,0.0,0.0,0.0,13.6179599285,4.05228405847,3981.0758688941532
2030-05-28 23:00:00,190.213506983,4.71738235748,176.325152502,16.0573226482,3854.646925258,0.639224419425,0.0,0.0,0.0,0.0,0.0,13.6545328814,4.20464749993,3634.674819074677
